#,Question,Correct Answer,Distractor 1,Distractor 2,Distractor 3
46,What is the force that pulls objects toward Earth?,Gravity,Magnetism,Friction,Inertia
47,What is the formula for speed?,Distance ÷ Time,Mass ÷ Volume,Force ÷ Area,Work ÷ Energy
48,What form of energy is produced by vibrating particles?,Sound,Light,Heat,Nuclear
49,What is the process of water changing from a liquid to a gas?,Evaporation,Condensation,Precipitation,Freezing
50,Which simple machine is a ramp?,Inclined Plane,Pulley,Lever,Wheel and Axle
51,What type of energy is stored in food?,Chemical,Kinetic,Nuclear,Electrical
52,What kind of energy is due to motion?,Kinetic,Potential,Chemical,Thermal
53,What is the boiling point of water in Celsius?,100°C,0°C,50°C,212°C
54,What type of circuit allows electricity to flow?,Closed Circuit,Open Circuit,Parallel Break,Static Circuit
55,What happens to most metals when they are heated?,They expand,They contract,They freeze,They stop conducting
56,What two elements make up water?,Hydrogen & Oxygen,Hydrogen & Nitrogen,Oxygen & Carbon,Sodium & Chlorine
57,What is the formula for density?,Mass ÷ Volume,Volume ÷ Mass,Force ÷ Area,Energy ÷ Time
58,What color of light has the shortest wavelength?,Violet,Red,Green,Yellow
59,What is the SI unit for energy?,Joule,Watt,Newton,Volt
60,What type of energy transfer occurs through direct contact?,Conduction,Convection,Radiation,Reflection
61,What is the closest planet to the Sun?,Mercury,Venus,Earth,Mars
62,What is Earth’s natural satellite called?,Moon,Sun,Phobos,Europa
63,What is the largest planet in our solar system?,Jupiter,Saturn,Neptune,Uranus
64,What force keeps planets in orbit around the Sun?,Gravity,Magnetism,Friction,Centrifugal Force
65,Which planet is known as the Red Planet?,Mars,Venus,Mercury,Jupiter
66,What galaxy is Earth located in?,Milky Way,Andromeda,Triangulum,Whirlpool
67,What is the name of the first man to walk on the Moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,John Glenn
68,What is the hottest planet in the solar system?,Venus,Mercury,Mars,Jupiter
69,What type of celestial body is the Sun?,Star,Planet,Asteroid,Comet
70,What do we call a star that suddenly increases greatly in brightness?,Supernova,Nova,Pulsar,Quasar
71,What is the term for a group of stars forming a pattern?,Constellation,Cluster,Galaxy,Nebula
72,What is the name of the telescope launched into space in 1990?,Hubble Space Telescope,Webb Telescope,Chandra Telescope,Kepler Telescope
73,Which two planets have rings visible from Earth with telescopes?,Saturn & Jupiter,Earth & Mars,Venus & Neptune,Mercury & Uranus
74,What is the name of the dwarf planet beyond Neptune?,Pluto,Eris,Ceres,Haumea
75,What is the term for a meteoroid that survives through Earth’s atmosphere and lands?,Meteorite,Meteor,Asteroid,Comet
76,"Which planet has the largest moon, Ganymede?",Jupiter,Saturn,Neptune,Uranus
77,What is the second most abundant gas in Earth’s atmosphere?,Oxygen,Carbon Dioxide,Argon,Hydrogen
78,What is the phase of the Moon when it is completely lit?,Full Moon,New Moon,Crescent Moon,Quarter Moon
79,Which planet rotates on its side compared to the others?,Uranus,Neptune,Saturn,Venus
80,What do we call a system of two stars orbiting each other?,Binary Star System,Galaxy,Constellation,Star Cluster
81,What is the first step of the scientific method?,Ask a Question,Form a Hypothesis,Analyze Data,Draw a Conclusion
82,What is an educated guess called in science?,Hypothesis,Theory,Fact,Law
83,What is the variable that a scientist changes in an experiment?,Independent Variable,Dependent Variable,Control Variable,Constant
84,What is the variable that is measured in an experiment?,Dependent Variable,Independent Variable,Constant,Trial
85,What is a conclusion based on evidence and reasoning called?,Inference,Observation,Prediction,Guess
86,What is the term for a procedure that can be repeated with consistent results?,Reliable,Biased,Random,Hypothetical
87,What do we call the group in an experiment that does not receive the variable being tested?,Control Group,Experimental Group,Test Group,Variable Group
88,What type of graph is best for showing percentages?,Pie Chart,Line Graph,Bar Graph,Scatter Plot
89,What is the name of the metric system used worldwide?,SI (International System),Imperial System,Customary Units,English System
90,What is the base unit of mass in the metric system?,Gram,Pound,Ounce,Liter
91,Which tool is used to measure volume of a liquid?,Graduated Cylinder,Ruler,Thermometer,Scale
92,What type of graph shows change over time?,Line Graph,Pie Chart,Bar Graph,Histogram
93,What is the metric unit of length?,Meter,Foot,Inch,Yard
94,What is the freezing point of water in Celsius?,0°C,32°C,–10°C,100°C
95,What is the process of carefully watching and recording something?,Observation,Conclusion,Inference,Experiment
96,Which instrument is used to measure temperature?,Thermometer,Barometer,Anemometer,Compass
97,What is the term for a testable explanation of observations?,Hypothesis,Theory,Law,Fact
98,What type of data is based on numbers?,Quantitative,Qualitative,Subjective,Descriptive
99,What type of data is based on descriptions?,Qualitative,Quantitative,Numerical,Statistical
100,"What is the system of prefixes used in the metric system (kilo-, centi-, milli-)?",Metric Prefixes,Place Values,Number Line,Unit Factors
